DATE,FISCAL_YEAR,PRODUCT_CODE,VARIANT,PRODUCT,FORECAST_QUANTITY,gross_price,GROSS_PRICE_TOTAL
2020-09-01,2021,A0118150101,Standard,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",60,19.0573,1143.44
2020-09-01,2021,A0118150102,Plus,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",75,21.4565,1609.24
2020-09-01,2021,A0118150103,Premium,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",70,21.7795,1524.57
2020-09-01,2021,A0118150104,"Premium Plus","AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",117,22.9729,2687.83
2020-09-01,2021,A0219150201,Standard,"AQ WereWolf NAS Internal Hard Drive HDD – 8.89 cm",189,23.6987,4479.05
2020-09-01,2021,A0219150202,Plus,"AQ WereWolf NAS Internal Hard Drive HDD – 8.89 cm",28,24.7312,692.47
2020-09-01,2021,A0220150203,Premium,"AQ WereWolf NAS Internal Hard Drive HDD – 8.89 cm",81,23.6154,1912.85
2020-09-01,2021,A0320150301,Standard,"AQ Zion Saga",177,23.7223,4198.85
2020-09-01,2021,A0321150302,Plus,"AQ Zion Saga",105,27.1027,2845.78
2020-09-01,2021,A0321150303,Premium,"AQ Zion Saga",146,28.0059,4088.86
2020-09-01,2021,A0418150103,"Standard 3","AQ Mforce Gen X",153,19.5235,2987.10
2020-09-01,2021,A0418150104,"Plus 1","AQ Mforce Gen X",64,19.9239,1275.13
2020-09-01,2021,A0418150105,"Plus 2","AQ Mforce Gen X",97,20.0766,1947.43
2020-09-01,2021,A0418150106,"Plus 3","AQ Mforce Gen X",85,19.9365,1694.60
2020-09-01,2021,A0519150201,"Standard 1","AQ Mforce Gen Y",68,22.3984,1523.09
2020-09-01,2021,A0519150202,"Standard 2","AQ Mforce Gen Y",192,24.9298,4786.52
2020-09-01,2021,A0519150203,"Standard 3","AQ Mforce Gen Y",40,26.5871,1063.48
2020-09-01,2021,A0519150204,"Plus 1","AQ Mforce Gen Y",133,26.1081,3472.38
2020-09-01,2021,A0519150205,"Plus 2","AQ Mforce Gen Y",23,29.7008,683.12
2020-09-01,2021,A0519150206,"Plus 3","AQ Mforce Gen Y",190,31.2439,5936.34
2020-09-01,2021,A0519150207,"Premium 1","AQ Mforce Gen Y",181,32.4427,5872.13
2020-09-01,2021,A0519150208,"Premium 2","AQ Mforce Gen Y",35,30.5816,1070.36
2020-09-01,2021,A0619150301,"Standard 1","AQ Mforce Gen Z",54,30.4696,1645.36
2020-09-01,2021,A0619150302,"Standard 2","AQ Mforce Gen Z",79,34.0973,2693.69
2020-09-01,2021,A0620150303,"Standard 3","AQ Mforce Gen Z",146,34.2412,4999.22
2020-09-01,2021,A0620150304,"Plus 1","AQ Mforce Gen Z",195,37.5826,7328.61
2020-09-01,2021,A0620150305,"Plus 2","AQ Mforce Gen Z",91,36.5679,3327.68
2020-09-01,2021,A0620150306,"Plus 3","AQ Mforce Gen Z",153,37.5278,5741.75
2020-09-01,2021,A0621150307,"Premium 1","AQ Mforce Gen Z",122,36.2434,4421.69
2020-09-01,2021,A0621150308,"Premium 2","AQ Mforce Gen Z",99,39.3990,3900.50
2020-09-01,2021,A0721150401,Standard,"AQ GT 21",149,39.3377,5861.32
2020-09-01,2021,A0721150402,"Plus 1","AQ GT 21",191,39.1465,7476.98
2020-09-01,2021,A0721150403,"Plus 2","AQ GT 21",130,39.2990,5108.87
2020-09-01,2021,A0721150404,Premium,"AQ GT 21",148,39.1215,5789.98
2020-09-01,2021,A0821150501,Standard,"AQ Marquee P3",129,40.5013,5224.67
2020-09-01,2021,A0821150502,"Plus 1","AQ Marquee P3",157,43.2966,6797.57
2020-09-01,2021,A0821150503,"Plus 2","AQ Marquee P3",122,42.3841,5170.86
2020-09-01,2021,A0821150504,Premium,"AQ Marquee P3",182,44.7044,8136.20
2020-09-01,2021,A0921150601,Standard,"AQ Marquee P4",178,45.0813,8024.47
2020-09-01,2021,A1018150101,Standard,"AQ 5000 Series Electron 9 5900X Desktop Processor",51,111.1036,5666.28
2020-09-01,2021,A1018150102,Plus,"AQ 5000 Series Electron 9 5900X Desktop Processor",253,123.4797,31240.36
2020-09-01,2021,A1018150103,Premium,"AQ 5000 Series Electron 9 5900X Desktop Processor",265,123.9315,32841.85
2020-09-01,2021,A1118150201,Standard,"AQ 5000 Series Electron 8 5900X Desktop Processor",168,124.2640,20876.35
2020-09-01,2021,A1118150202,Plus,"AQ 5000 Series Electron 8 5900X Desktop Processor",279,129.5836,36153.82
2020-09-01,2021,A1119150203,Premium,"AQ 5000 Series Electron 8 5900X Desktop Processor",48,139.8962,6715.02
2020-09-01,2021,A1219150301,Standard,"AQ 5000 Series Ultron 8 5900X Desktop Processor",45,135.6822,6105.70
2020-09-01,2021,A1219150302,Plus,"AQ 5000 Series Ultron 8 5900X Desktop Processor",36,145.1474,5225.31
2020-09-01,2021,A1219150303,Premium,"AQ 5000 Series Ultron 8 5900X Desktop Processor",245,142.9402,35020.35
2020-09-01,2021,A1319150401,Standard,"AQ Electron 5 3600 Desktop Processor",193,149.1034,28776.96
2020-09-01,2021,A1320150402,Plus,"AQ Electron 5 3600 Desktop Processor",93,150.2450,13972.79
2020-09-01,2021,A1320150403,Premium,"AQ Electron 5 3600 Desktop Processor",174,160.6912,27960.27
2020-09-01,2021,A1420150501,Standard,"AQ Electron 4 3600 Desktop Processor",65,160.5082,10433.03
2020-09-01,2021,A1420150502,Plus,"AQ Electron 4 3600 Desktop Processor",101,169.4999,17119.49
2020-09-01,2021,A1421150503,Premium,"AQ Electron 4 3600 Desktop Processor",148,176.4389,26112.96
2020-09-01,2021,A1521150601,Standard,"AQ Electron 3 3600 Desktop Processor",145,186.2917,27012.30
2020-09-01,2021,A1521150602,Plus,"AQ Electron 3 3600 Desktop Processor",120,185.4599,22255.19
2020-09-01,2021,A1618150101,Standard,"AQ MB Elite",43,19.6485,844.89
2020-09-01,2021,A1618150102,"Plus 1","AQ MB Elite",92,20.4629,1882.59
2020-09-01,2021,A1618150103,"Plus 2","AQ MB Elite",23,21.2017,487.64
2020-09-01,2021,A1618150104,Premium,"AQ MB Elite",69,21.4489,1479.97
2020-09-01,2021,A1718150201,Standard,"AQ MB Crossx",20,21.8879,437.76
2020-09-01,2021,A1718150202,"Plus 1","AQ MB Crossx",35,22.8957,801.35
2020-09-01,2021,A1718150203,"Plus 2","AQ MB Crossx",56,27.3445,1531.29
2020-09-01,2021,A1718150204,Premium,"AQ MB Crossx",38,28.3991,1079.17
2020-09-01,2021,A1819150301,Standard,"AQ MB Crossx 2",102,28.8615,2943.87
2020-09-01,2021,A1819150302,"Plus 1","AQ MB Crossx 2",123,31.9525,3930.16
2020-09-01,2021,A1819150303,"Plus 2","AQ MB Crossx 2",34,32.1924,1094.54
2020-09-01,2021,A1819150304,Premium,"AQ MB Crossx 2",63,32.2612,2032.46
2020-09-01,2021,A1919150401,Standard,"AQ MB Lito",36,33.7609,1215.39
2020-09-01,2021,A1919150402,"Plus 1","AQ MB Lito",105,35.0256,3677.69
2020-09-01,2021,A1919150403,"Plus 2","AQ MB Lito",31,35.8350,1110.89
2020-09-01,2021,A1920150404,Premium,"AQ MB Lito",96,38.9780,3741.89
2020-09-01,2021,A2020150501,Standard,"AQ MB Lito 2",84,41.3696,3475.05
2020-09-01,2021,A2020150502,"Plus 1","AQ MB Lito 2",73,39.3932,2875.70
2020-09-01,2021,A2021150503,"Plus 2","AQ MB Lito 2",79,45.4377,3589.58
2020-09-01,2021,A2118150101,"Standard 1","AQ Master wired x1 Ms",676,2.9434,1989.74
2020-09-01,2021,A2118150102,"Standard 2","AQ Master wired x1 Ms",1098,3.9998,4391.78
2020-09-01,2021,A2118150103,"Plus 1","AQ Master wired x1 Ms",867,4.5295,3927.08
2020-09-01,2021,A2118150104,"Plus 2","AQ Master wired x1 Ms",168,5.0459,847.71
2020-09-01,2021,A2118150105,"Premium 1","AQ Master wired x1 Ms",1121,4.6904,5257.94
2020-09-01,2021,A2118150106,"Premium 2","AQ Master wired x1 Ms",215,5.2542,1129.65
2020-09-01,2021,A2218150201,"Standard 1","AQ Master wireless x1 Ms",901,5.4383,4899.91
2020-09-01,2021,A2218150202,"Standard 2","AQ Master wireless x1 Ms",383,6.4054,2453.27
